[('2', '-10')] => [('3', '-11')] : 0.61
[('2', '-5')] => [('3', '-11')] : 0.37
[('3', '-17')] => [('3', '-16')] : 0.5
[('4', '-10')] => [('3', '-8')] : 0.6
[('6', '-16')] => [('6', '-15')] : 0.43
[('6', '-15')] => [('6', '-14')] : 0.27
[('9', '-3')] => [('9', '-2')] : 0.83
[('7', '-5')] => [('7', '-6')] : 0.78
[('5', '-11')] => [('6', '-11')] : 0.71
[('8', '-9')] => [('3', '-9')] : 0.36
[('4', '-10')] => [('5', '-11')] : 0.7
[('3', '-10')] => [('4', '-13')] : 0.32
[('5', '-17')] => [('5', '-18')] : 0.33
[('7', '-10')] => [('7', '-9')] : 0.56
[('5', '-12')] => [('4', '-12')] : 0.37
[('9', '-12')] => [('9', '-11')] : 0.78
[('3', '-9')] => [('2', '-5')] : 0.43
[('8', '-10')] => [('5', '-12')] : 0.38
[('5', '-16')] => [('4', '-15')] : 0.31
[('7', '-11')] => [('6', '-11')] : 0.37
[('10', '-8')] => [('8', '-13')] : 0.83
[('7', '-13')] => [('8', '-10')] : 0.28
[('8', '-9')] => [('9', '-7')] : 0.36
[('4', '-19')] => [('3', '-18')] : 0.38
[('7', '-13')] => [('7', '-12')] : 0.56
[('4', '-12')] => [('3', '-10')] : 0.63
[('7', '-12')] => [('8', '-11')] : 0.5
[('8', '-12')] => [('6', '-15')] : 0.35
[('8', '-12')] => [('9', '-11')] : 0.41
[('4', '-13')] => [('8', '-11')] : 0.31
[('4', '-9')] => [('4', '-10')] : 0.43
[('7', '-11')] => [('7', '-13')] : 0.47
[('9', '-6')] => [('9', '-7')] : 0.71
[('5', '-13')] => [('4', '-12')] : 0.36
[('6', '-9')] => [('6', '-10')] : 0.67
[('4', '-9')] => [('3', '-7')] : 0.5
[('2', '-9')] => [('3', '-11')] : 0.57
[('2', '-6')] => [('3', '-11')] : 0.25
[('5', '-15')] => [('4', '-14')] : 0.29
[('3', '-12')] => [('3', '-14')] : 0.25
[('3', '-8')] => [('2', '-4')] : 0.47
[('4', '-13')] => [('3', '-12')] : 0.56
[('2', '-8')] => [('2', '-7')] : 0.71
[('5', '-11')] => [('5', '-10')] : 0.41
[('3', '-8')] => [('2', '-5')] : 0.53
[('4', '-13')] => [('4', '-14')] : 0.5
[('8', '-10')] => [('9', '-9')] : 0.38
[('4', '-12')] => [('4', '-11')] : 0.5
[('3', '-11')] => [('2', '-9')] : 0.52
[('6', '-10')] => [('6', '-11')] : 0.64
[('4', '-12')] => [('4', '-13')] : 0.5
[('6', '-13')] => [('8', '-11')] : 0.47
[('8', '-9')] => [('7', '-11')] : 0.36
[('3', '-9')] => [('4', '-9')] : 0.33
[('3', '-10')] => [('8', '-11')] : 0.32
[('8', '-9')] => [('9', '-8')] : 0.57
[('3', '-17')] => [('3', '-18')] : 0.36
[('6', '-11')] => [('7', '-9')] : 0.48
[('3', '-7')] => [('7', '-7')] : 0.33
[('4', '-9')] => [('2', '-7')] : 0.43
[('7', '-13')] => [('5', '-15')] : 0.28
[('3', '-11')] => [('2', '-8')] : 0.4
[('6', '-10')] => [('7', '-9')] : 0.5
[('2', '-5')] => [('2', '-7')] : 0.58
[('5', '-10')] => [('6', '-11')] : 0.67
[('8', '-12')] => [('9', '-12')] : 0.29
[('5', '-8')] => [('7', '-7')] : 0.5
[('4', '-13')] => [('4', '-12')] : 0.5
[('3', '-9')] => [('2', '-4')] : 0.33
[('7', '-11')] => [('7', '-10')] : 0.42
[('7', '-10')] => [('8', '-9')] : 0.5
[('7', '-15')] => [('8', '-13')] : 0.56
[('6', '-14')] => [('8', '-12')] : 0.36
[('6', '-8')] => [('6', '-9')] : 0.45
[('9', '-11')] => [('10', '-10')] : 0.42
[('2', '-9')] => [('2', '-11')] : 0.26
[('3', '-11')] => [('3', '-13')] : 0.32
[('5', '-13')] => [('3', '-10')] : 0.36
[('4', '-13')] => [('3', '-13')] : 0.31
[('7', '-14')] => [('8', '-11')] : 0.33
[('3', '-9')] => [('4', '-10')] : 0.33
[('7', '-15')] => [('4', '-13')] : 0.31
[('3', '-12')] => [('4', '-14')] : 0.35
[('4', '-8')] => [('4', '-9')] : 0.5
[('7', '-7')] => [('7', '-8')] : 0.69
[('4', '-9')] => [('3', '-8')] : 0.57
[('6', '-15')] => [('7', '-14')] : 0.42
[('9', '-8')] => [('8', '-10')] : 0.6
[('6', '-13')] => [('5', '-14')] : 0.29
[('8', '-11')] => [('8', '-13')] : 0.33
[('7', '-7')] => [('7', '-6')] : 0.38
[('7', '-9')] => [('6', '-10')] : 0.54
[('2', '-5')] => [('3', '-7')] : 0.47
[('7', '-7')] => [('4', '-9')] : 0.38
[('3', '-16')] => [('2', '-16')] : 0.31
[('4', '-13')] => [('7', '-13')] : 0.56
[('9', '-11')] => [('6', '-15')] : 0.58
[('7', '-10')] => [('5', '-10')] : 0.31
[('8', '-10')] => [('7', '-12')] : 0.54
[('5', '-17')] => [('5', '-16')] : 0.53
[('3', '-7')] => [('2', '-6')] : 0.87
[('3', '-15')] => [('3', '-16')] : 0.56
[('2', '-11')] => [('3', '-13')] : 0.46
[('4', '-17')] => [('5', '-17')] : 0.6
[('3', '-16')] => [('4', '-16')] : 0.44
[('3', '-8')] => [('3', '-10')] : 0.35
[('9', '-4')] => [('9', '-6')] : 0.5
[('7', '-12')] => [('7', '-11')] : 0.65
[('5', '-11')] => [('5', '-12')] : 0.47
[('4', '-12')] => [('2', '-7')] : 0.31
[('3', '-10')] => [('2', '-10')] : 0.28
[('7', '-8')] => [('6', '-8')] : 0.42
[('6', '-16')] => [('6', '-17')] : 0.43
[('5', '-11')] => [('7', '-10')] : 0.53
[('3', '-8')] => [('3', '-6')] : 0.29
[('6', '-17')] => [('6', '-16')] : 0.6
[('4', '-11')] => [('4', '-12')] : 0.5
[('5', '-8')] => [('6', '-7')] : 0.5
[('2', '-6')] => [('2', '-9')] : 0.25
[('6', '-11')] => [('8', '-9')] : 0.33
[('7', '-15')] => [('3', '-11')] : 0.31
[('7', '-9')] => [('7', '-11')] : 0.38
[('3', '-17')] => [('4', '-17')] : 0.43
[('3', '-10')] => [('7', '-13')] : 0.28
[('2', '-9')] => [('4', '-11')] : 0.26
[('2', '-5')] => [('2', '-4')] : 0.63
[('2', '-10')] => [('3', '-10')] : 0.39
[('9', '-5')] => [('9', '-6')] : 0.71
[('8', '-11')] => [('8', '-10')] : 0.47
[('4', '-9')] => [('2', '-4')] : 0.36
[('2', '-7')] => [('2', '-4')] : 0.27
[('4', '-9')] => [('7', '-10')] : 0.36
[('2', '-10')] => [('2', '-8')] : 0.5
[('3', '-13')] => [('3', '-10')] : 0.42
[('7', '-12')] => [('6', '-14')] : 0.4
[('4', '-12')] => [('8', '-10')] : 0.31
[('8', '-11')] => [('6', '-14')] : 0.4
[('4', '-16')] => [('4', '-15')] : 0.42
[('7', '-14')] => [('10', '-8')] : 0.28
[('6', '-11')] => [('7', '-10')] : 0.52
[('7', '-7')] => [('6', '-7')] : 0.38
[('6', '-8')] => [('7', '-8')] : 0.45
[('7', '-9')] => [('7', '-10')] : 0.69
[('3', '-18')] => [('4', '-18')] : 1.0
[('9', '-11')] => [('7', '-14')] : 0.42
[('4', '-14')] => [('3', '-11')] : 0.62
[('7', '-10')] => [('6', '-10')] : 0.38
[('4', '-12')] => [('7', '-13')] : 0.31
[('4', '-10')] => [('5', '-10')] : 0.5
[('4', '-12')] => [('5', '-13')] : 0.31
[('2', '-5')] => [('3', '-8')] : 0.47
[('3', '-10')] => [('2', '-9')] : 0.52
[('8', '-11')] => [('7', '-11')] : 0.4
[('6', '-16')] => [('8', '-13')] : 0.43
[('2', '-5')] => [('2', '-9')] : 0.26
[('3', '-10')] => [('2', '-5')] : 0.28
[('4', '-13')] => [('7', '-12')] : 0.31
[('9', '-10')] => [('7', '-13')] : 0.5
[('7', '-8')] => [('7', '-9')] : 0.42
[('4', '-13')] => [('3', '-11')] : 0.63
[('4', '-14')] => [('2', '-8')] : 0.38
[('9', '-9')] => [('9', '-8')] : 0.6
[('8', '-11')] => [('3', '-11')] : 0.33
[('8', '-13')] => [('9', '-10')] : 0.33
[('3', '-6')] => [('3', '-8')] : 0.56
[('3', '-6')] => [('2', '-6')] : 0.78
[('2', '-9')] => [('2', '-7')] : 0.48
[('7', '-8')] => [('2', '-6')] : 0.42
[('8', '-13')] => [('4', '-13')] : 0.33
[('3', '-7')] => [('2', '-5')] : 0.6
[('9', '-6')] => [('9', '-4')] : 0.71
[('4', '-14')] => [('5', '-14')] : 0.38
[('3', '-14')] => [('3', '-13')] : 0.86
[('6', '-16')] => [('4', '-16')] : 0.36
[('4', '-13')] => [('8', '-12')] : 0.31
[('2', '-5')] => [('3', '-10')] : 0.37
[('3', '-11')] => [('4', '-12')] : 0.36
[('8', '-11')] => [('8', '-12')] : 0.47
[('3', '-11')] => [('4', '-11')] : 0.32
[('7', '-13')] => [('8', '-11')] : 0.36
[('3', '-14')] => [('3', '-15')] : 0.71
[('8', '-13')] => [('6', '-15')] : 0.53
[('3', '-9')] => [('2', '-6')] : 0.57
[('2', '-9')] => [('2', '-8')] : 0.74
[('7', '-15')] => [('9', '-11')] : 0.31
[('2', '-6')] => [('3', '-8')] : 0.54
[('2', '-7')] => [('3', '-8')] : 0.45
[('7', '-11')] => [('8', '-11')] : 0.32
[('7', '-13')] => [('9', '-11')] : 0.28
[('6', '-12')] => [('7', '-12')] : 0.36
[('8', '-11')] => [('7', '-12')] : 0.67
[('3', '-6')] => [('3', '-7')] : 0.89
[('8', '-12')] => [('3', '-10')] : 0.29
[('7', '-12')] => [('3', '-10')] : 0.3
[('8', '-13')] => [('3', '-10')] : 0.33
[('2', '-10')] => [('2', '-7')] : 0.28
[('3', '-11')] => [('4', '-14')] : 0.32
[('8', '-12')] => [('5', '-17')] : 0.29
[('5', '-14')] => [('5', '-15')] : 0.47
[('2', '-8')] => [('3', '-9')] : 0.33
[('2', '-7')] => [('2', '-8')] : 0.68
[('5', '-11')] => [('4', '-10')] : 0.41
[('5', '-12')] => [('4', '-11')] : 0.32
[('5', '-12')] => [('6', '-12')] : 0.42
[('5', '-15')] => [('7', '-15')] : 0.25
[('2', '-5')] => [('3', '-6')] : 0.26
[('7', '-14')] => [('5', '-15')] : 0.39
[('4', '-13')] => [('5', '-13')] : 0.31
[('4', '-11')] => [('8', '-10')] : 0.31
