[('7', '-14')] => [('6', '-15')] : 0.63
[('8', '-11')] => [('7', '-13')] : 0.58
[('2', '-7')] => [('3', '-10')] : 0.4
[('2', '-6')] => [('3', '-7')] : 0.42
[('7', '-13')] => [('7', '-14')] : 0.46
[('5', '-15')] => [('5', '-14')] : 0.35
[('5', '-16')] => [('6', '-16')] : 0.46
[('6', '-14')] => [('7', '-12')] : 0.36
[('7', '-13')] => [('6', '-13')] : 0.44
[('2', '-8')] => [('2', '-10')] : 0.43
[('7', '-9')] => [('7', '-8')] : 0.55
[('6', '-14')] => [('7', '-14')] : 0.37
[('2', '-8')] => [('3', '-11')] : 0.43
[('6', '-15')] => [('5', '-16')] : 0.32
[('2', '-7')] => [('2', '-6')] : 0.67
[('3', '-10')] => [('2', '-9')] : 0.43
[('2', '-4')] => [('3', '-7')] : 0.51
[('2', '-5')] => [('2', '-4')] : 0.71
[('3', '-12')] => [('3', '-11')] : 0.76
[('6', '-15')] => [('6', '-14')] : 0.39
[('8', '-11')] => [('7', '-12')] : 0.65
[('6', '-15')] => [('6', '-16')] : 0.32
[('6', '-11')] => [('5', '-12')] : 0.38
[('2', '-8')] => [('3', '-10')] : 0.46
[('4', '-19')] => [('4', '-18')] : 0.7
[('3', '-10')] => [('2', '-8')] : 0.39
[('3', '-7')] => [('3', '-9')] : 0.55
[('8', '-12')] => [('8', '-13')] : 0.46
[('7', '-8')] => [('7', '-9')] : 0.55
[('3', '-13')] => [('3', '-12')] : 0.76
[('5', '-16')] => [('4', '-16')] : 0.33
[('2', '-9')] => [('3', '-12')] : 0.38
[('2', '-4')] => [('2', '-6')] : 0.66
[('3', '-7')] => [('3', '-8')] : 0.75
[('6', '-12')] => [('6', '-13')] : 0.47
[('2', '-12')] => [('2', '-11')] : 0.79
[('2', '-9')] => [('2', '-7')] : 0.46
[('3', '-7')] => [('2', '-5')] : 0.48
[('6', '-11')] => [('5', '-11')] : 0.51
[('3', '-11')] => [('3', '-9')] : 0.35
[('4', '-14')] => [('5', '-14')] : 0.48
[('5', '-12')] => [('5', '-11')] : 0.48
[('3', '-7')] => [('2', '-4')] : 0.48
[('3', '-11')] => [('4', '-12')] : 0.44
[('4', '-16')] => [('3', '-16')] : 0.49
[('6', '-15')] => [('7', '-13')] : 0.34
[('2', '-6')] => [('3', '-9')] : 0.47
[('3', '-9')] => [('3', '-7')] : 0.42
[('7', '-8')] => [('7', '-7')] : 0.65
[('3', '-12')] => [('3', '-10')] : 0.53
[('2', '-10')] => [('3', '-11')] : 0.5
[('3', '-8')] => [('2', '-6')] : 0.55
[('3', '-9')] => [('2', '-6')] : 0.48
[('2', '-9')] => [('2', '-8')] : 0.68
[('2', '-4')] => [('2', '-5')] : 0.85
[('3', '-10')] => [('3', '-11')] : 0.72
[('7', '-14')] => [('7', '-13')] : 0.57
[('3', '-13')] => [('3', '-11')] : 0.53
[('4', '-13')] => [('3', '-11')] : 0.55
[('2', '-6')] => [('3', '-8')] : 0.45
[('2', '-11')] => [('2', '-12')] : 0.59
[('5', '-14')] => [('5', '-15')] : 0.42
[('3', '-6')] => [('3', '-7')] : 0.86
[('3', '-12')] => [('4', '-13')] : 0.4
[('6', '-15')] => [('7', '-14')] : 0.46
[('6', '-10')] => [('6', '-11')] : 0.56
[('7', '-13')] => [('7', '-11')] : 0.29
